('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         1038380 function calls (1006079 primitive calls) in 2.498 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      418    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
  433/244    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
      465    0.000    0.000    0.000    0.000 feedparser.py:129(__next__)
      272    0.000    0.000    0.072    0.000 __init__.py:287(compile)
      759    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        3    0.000    0.000    0.001    0.000 typing.py:2994(__new__)
      329    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      280    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
  187/125    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
    85/51    0.000    0.000    0.079    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       18    0.000    0.000    0.000    0.000 dataclasses.py:610(_init_fn)
      287    0.000    0.000    0.000    0.000 _connection.py:248(_server_switch_event)
     1258    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       24    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
      143    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      941    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      283    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
      286    0.000    0.000    0.399    0.001 http11.py:330(__iter__)
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      209    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
      286    0.000    0.000    0.400    0.001 connection_pool.py:401(__iter__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
      286    0.000    0.000    0.400    0.001 default.py:125(__iter__)
      286    0.000    0.000    0.400    0.001 _client.py:152(__iter__)
       85    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
       32    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      284    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      282    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      203    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
       32    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
      591    0.000    0.000    0.000    0.000 typing.py:1427(<genexpr>)
      465    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      310    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      238    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
       77    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
      205    0.000    0.000    0.003    0.000 _parser.py:97(closegroup)
      405    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      329    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
    42/30    0.000    0.000    0.008    0.000 css_parser.py:569(parse_pseudo_class)
        2    0.000    0.000    0.004    0.002 _sockets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
       22    0.000    0.000    0.000    0.000 _receivebuffer.py:104(maybe_extract_lines)
      330    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 stringprep.py:1(<module>)
  136/131    0.000    0.000    0.001    0.000 css_parser.py:375(_freeze_relations)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
       52    0.000    0.000    0.000    0.000 functools.py:541(decorating_function)
        1    0.000    0.000    0.047    0.047 css_parser.py:1(<module>)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2307(__init__)
      657    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
      272    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      151    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.022    0.022 dammit.py:67(EntitySubstitution)
    32/14    0.000    0.000    0.105    0.008 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 readers.py:157(_resolve_zip_path)
       27    0.000    0.000    0.001    0.000 typing.py:1748(__getitem__)
       86    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       22    0.000    0.000    0.000    0.000 util.py:16(lower)
      209    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      179    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        8    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
        3    0.000    0.000    0.009    0.003 utils.py:1(<module>)
      130    0.000    0.000    0.000    0.000 dataclasses.py:865(_set_new_attribute)
