('Total Revenue', '254,190,000', '245,122,000', '211,915,000', '198,270,000', '168,088,000')
         849322 function calls (822918 primitive calls) in 1.870 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       46    0.000    0.000    0.870    0.019 {method 'readline' of '_io.BufferedReader' objects}
    45/26    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       45    0.000    0.000    0.000    0.000 <frozen _collections_abc>:873(__iter__)
       45    0.000    0.000    0.000    0.000 <frozen _collections_abc>:823(keys)
       45    0.000    0.000    0.000    0.000 <frozen _collections_abc>:439(__subclasshook__)
       44    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
       44    0.000    0.000    0.000    0.000 enum.py:1435(_iter_member_by_value_)
       43    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       43    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
       43    0.000    0.000    0.000    0.000 enum.py:795(<genexpr>)
    42/30    0.000    0.000    0.008    0.000 css_parser.py:569(parse_pseudo_class)
       42    0.000    0.000    0.000    0.000 __init__.py:613(__missing__)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       41    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       39    0.000    0.000    0.000    0.000 functools.py:501(lru_cache)
    38/29    0.000    0.000    0.008    0.000 css_parser.py:732(parse_pseudo_open)
       38    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
       37    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       36    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:2307(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1895(_split_scope_id)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
       34    0.000    0.000    0.000    0.000 utils.py:47(_has_surrogates)
    34/16    0.000    0.000    0.116    0.007 {built-in method builtins.__import__}
       33    0.000    0.000    0.002    0.000 response.py:122(decompress)
       33    0.000    0.000    0.347    0.011 response.py:1173(read_chunked)
       33    0.000    0.000    0.347    0.011 response.py:1044(stream)
       33    0.000    0.000    0.347    0.011 models.py:816(generate)
       33    0.000    0.000    0.000    0.000 response.py:1133(_update_chunk_length)
       33    0.000    0.000    0.000    0.000 typing.py:3790(__getattr__)
       32    0.000    0.000    0.002    0.000 response.py:469(_decode)
       32    0.000    0.000    0.344    0.011 response.py:1151(_handle_chunk)
       32    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       32    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
       32    0.002    0.000    0.002    0.000 {method 'decompress' of 'zlib.Decompress' objects}
       32    0.000    0.000    0.000    0.000 _collections.py:20(__missing__)
       32    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       32    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       31    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
    31/25    0.000    0.000    0.001    0.000 typing.py:574(__getitem__)
       29    0.000    0.000    0.000    0.000 _local.py:117(__init__)
